year,Qa,ID,country
1996,212.1289891,JP_0000368,JP
1997,203.7329589,JP_0000368,JP
1998,222.3896164,JP_0000368,JP
1999,207.0714247,JP_0000368,JP
2000,217.8891257,JP_0000368,JP
2001,189.8993973,JP_0000368,JP
2002,217.3569315,JP_0000368,JP
2003,195.3549315,JP_0000368,JP
2004,217.1728142,JP_0000368,JP
2005,199.024137,JP_0000368,JP
2006,253.0983791,JP_0000368,JP
2007,191.9732877,JP_0000368,JP
2008,168.3347814,JP_0000368,JP
2009,165.1515616,JP_0000368,JP
2010,207.6227123,JP_0000368,JP
2011,213.2557808,JP_0000368,JP
2012,190.6442896,JP_0000368,JP
1955,,JP_0000370,JP
1956,137.2795355,JP_0000370,JP
1957,,JP_0000370,JP
1958,162.894,JP_0000370,JP
1959,152.6104658,JP_0000370,JP
1960,106.1543716,JP_0000370,JP
1961,127.4073973,JP_0000370,JP
1962,105.9838356,JP_0000370,JP
1963,100.5419178,JP_0000370,JP
1964,105.6606557,JP_0000370,JP
1965,130.7786301,JP_0000370,JP
1966,119.7820548,JP_0000370,JP
1967,107.2713973,JP_0000370,JP
1968,98.0895082,JP_0000370,JP
1969,102.374137,JP_0000370,JP
1970,95.84306849,JP_0000370,JP
1971,108.2806849,JP_0000370,JP
1972,102.3988251,JP_0000370,JP
1973,87.50246575,JP_0000370,JP
1974,136.2263836,JP_0000370,JP
1975,88.51463014,JP_0000370,JP
1976,111.3461202,JP_0000370,JP
1977,117.2193699,JP_0000370,JP
1978,113.3485479,JP_0000370,JP
1979,97.35635616,JP_0000370,JP
1980,133.0956011,JP_0000370,JP
1981,139.7287671,JP_0000370,JP
1982,97.22676712,JP_0000370,JP
1983,108.2880822,JP_0000370,JP
1984,96.00398907,JP_0000370,JP
1985,103.0553973,JP_0000370,JP
1986,101.6951781,JP_0000370,JP
1987,94.52257534,JP_0000370,JP
1988,116.0831728,JP_0000370,JP
1989,84.95421918,JP_0000370,JP
1990,82.81249315,JP_0000370,JP
1991,136.3386849,JP_0000370,JP
1992,91.75472678,JP_0000370,JP
1993,130.9166575,JP_0000370,JP
1994,92.82572603,JP_0000370,JP
1995,123.6501657,JP_0000370,JP
1996,117.7728962,JP_0000370,JP
1997,108.4617534,JP_0000370,JP
1998,126.9047945,JP_0000370,JP
1999,111.4355616,JP_0000370,JP
2000,125.5629508,JP_0000370,JP
2001,116.3539452,JP_0000370,JP
2002,117.5556438,JP_0000370,JP
2003,107.6442192,JP_0000370,JP
2004,127.8971858,JP_0000370,JP
2005,117.4163014,JP_0000370,JP
2006,156.8719178,JP_0000370,JP
2007,120.1773973,JP_0000370,JP
2008,111.3992623,JP_0000370,JP
2009,108.8637534,JP_0000370,JP
2010,124.3146575,JP_0000370,JP
2011,129.6162192,JP_0000370,JP
2012,112.7908986,JP_0000370,JP
1964,95.35273224,JP_0000372,JP
1965,125.3052055,JP_0000372,JP
1966,112.278,JP_0000372,JP
1967,108.8046575,JP_0000372,JP
1968,105.7554645,JP_0000372,JP
1969,102.6777534,JP_0000372,JP
1970,96.85794521,JP_0000372,JP
1971,123.1343562,JP_0000372,JP
