ID,year,Q,Ql,Qu
JP_0001023,1823,58.5246703103267,39.6789726917275,86.3212125359921
JP_0001023,1824,48.3597687621116,32.7873003626558,71.328447565284
JP_0001023,1825,59.795746759895,40.5407461534845,88.1959921762854
JP_0001023,1826,62.6864231190953,42.5005874940532,92.4596076234496
JP_0001023,1827,54.1938073704399,36.742703398587,79.9333877380751
JP_0001023,1828,66.8956906536074,45.3544166684588,98.6680847586614
JP_0001023,1829,52.3853849772739,35.5166163079113,77.266047402323
JP_0001023,1830,61.3234301289448,41.5764958016365,90.4492552888874
JP_0001023,1831,57.648202856073,39.0847390463586,85.028463119407
JP_0001023,1832,64.8864121017444,43.9921516891484,95.7044907734291
JP_0001023,1833,62.7115002199645,42.5175894454576,92.4965952005249
JP_0001023,1834,47.0563148347439,31.9035753879621,69.4059126257692
JP_0001023,1835,43.7645550792311,29.6718046705169,64.5507175094815
JP_0001023,1836,48.4141228413062,32.8241517282868,71.4086173466338
JP_0001023,1837,47.1524525574094,31.9687555257068,69.547711370588
JP_0001023,1838,57.2308551396663,38.8017826699373,84.4128943218668
JP_0001023,1839,50.1897672652509,34.0280157780001,74.0276116766307
JP_0001023,1840,50.8134777565201,34.4508834578928,74.9475561306924
JP_0001023,1841,51.7957164206086,35.116828621231,76.3963132451583
JP_0001023,1842,45.0368233425297,30.5343861666329,66.4272550205287
JP_0001023,1843,49.2065258859977,33.3613907866948,72.5773756031483
JP_0001023,1844,55.6613024230151,37.7376461433751,82.0978758361226
JP_0001023,1845,60.7045739028575,41.1569192510157,89.5364706539967
JP_0001023,1846,53.8236882022533,36.4917673695707,79.3874788895285
JP_0001023,1847,60.7592653053769,41.1939993175165,89.6171379718259
JP_0001023,1848,57.2876447507033,38.8402852947888,84.4966564013143
JP_0001023,1849,70.9579032921223,48.1085445173975,104.659662646692
JP_0001023,1850,76.3813049196446,51.7855409692127,112.658932050091
JP_0001023,1851,54.0997898901614,36.6789607578727,79.7947162538244
JP_0001023,1852,82.9317054353417,56.2266281518322,122.320473278997
JP_0001023,1853,54.3199375472931,36.8282180339779,80.1194239813485
JP_0001023,1854,56.4994038882479,38.3058681423293,83.3340371732728
JP_0001023,1855,61.8987627117105,41.9665638826556,91.2978445400947
JP_0001023,1856,67.7172669849935,45.9114348395033,99.8798722790363
JP_0001023,1857,75.4176759267044,51.1322129232265,111.2376233496
JP_0001023,1858,53.7347717624356,36.4314831685891,79.2563312067009
JP_0001023,1859,66.943734526515,45.3869897955007,98.7389472742862
JP_0001023,1860,66.7248232593125,45.2385707758432,98.416063165371
JP_0001023,1861,52.4243678822581,35.5430462154035,77.323545404594
JP_0001023,1862,55.8042376101253,37.8345543592772,82.3086987010784
JP_0001023,1863,62.5060251224739,42.3782799758112,92.1935288275357
JP_0001023,1864,64.0469419245291,43.4230017210986,94.4663106486922
JP_0001023,1865,64.6803197274439,43.8524237137753,95.4005139453718
JP_0001023,1866,67.890824338752,46.0291044899894,100.135861439531
JP_0001023,1867,50.3617908319243,34.1446455405972,74.2813385713108
JP_0001023,1868,60.0291122296151,40.6989649362836,88.5401955729634
JP_0001023,1869,62.5503037850382,42.4083003387351,92.258837830077
JP_0001023,1870,66.9717198596823,45.4059634909462,98.7802243610159
JP_0001023,1871,65.8235743915331,44.6275356512803,97.086762297021
JP_0001023,1872,68.9274071521068,46.7318942865952,101.664773689157
JP_0001023,1873,39.8067486920668,26.9884629152755,58.7131340679832
JP_0001023,1874,56.0506755618866,38.0016361165309,82.6721834109985
JP_0001023,1875,57.3141644695012,38.8582653225684,84.5357717738676
JP_0001023,1876,51.4095824982877,34.8550347951765,75.8267833665741
JP_0001023,1877,50.9489297010176,34.5427181316852,75.1473415549824
JP_0001023,1878,49.9551865974726,33.8689731065689,73.6816159183846
JP_0001023,1879,62.3080219201064,42.2440363548228,91.901483158184
JP_0001023,1880,48.8593304868569,33.1259967778409,72.0652782657036
JP_0001023,1881,58.7822428920646,39.8536035846949,86.7011203159718
JP_0001023,1882,69.009162326615,46.7873232419318,101.785358833118
JP_0001023,1883,65.2607082397931,44.2459196499332,96.2565604615211
JP_0001023,1884,57.9885423800084,39.3154848601246,85.530448354424
JP_0001023,1885,67.5512014957726,45.7988445766808,99.6349332761523
JP_0001023,1886,54.3263309569445,36.8325526833765,80.1288539682314
JP_0001023,1887,66.6132807545695,45.1629463942586,98.2515430714061
JP_0001023,1888,73.4914936976769,49.826286180545,108.396592640784
JP_0001023,1889,59.8876157824192,40.6030321675128,88.3314947835916
JP_0001023,1890,63.027668170608,42.7319472438538,92.9629284702359
JP_0001023,1891,64.5788075785695,43.7835997842818,95.2507881676525
JP_0001023,1892,58.0014432346585,39.3242314734186,85.5494765251123
JP_0001023,1893,75.9219138108814,51.474079714279,111.981351171353
JP_0001023,1894,52.79144148144,35.7919173878606,77.8649621781241
JP_0001023,1895,48.3396189618206,32.7736390575813,71.2987275312495
JP_0001023,1896,56.3713711502214,38.2190635949673,83.1451947392678
JP_0001023,1897,68.8111212795368,46.6530539627169,101.493257344548
JP_0001023,1898,70.077439458505,47.5116013782921,103.361018753289
JP_0001023,1899,58.1669143525916,39.4364187601632,85.7935388575259
JP_0001023,1900,51.485517170067,34.906517524629,75.9387835351654
JP_0001023,1901,55.3795143426822,37.546597454248,81.6822513030232
JP_0001023,1902,54.6795451343046,37.0720273463432,80.6498287283274
JP_0001023,1903,60.7499362405198,41.1876743316987,89.603378027754
JP_0001023,1904,48.5409239019047,32.9101212142163,71.5956431127539
JP_0001023,1905,69.1890650019794,46.9092949387411,102.050707052827
JP_0001023,1906,52.4985251861615,35.5933239123281,77.4329240368425
JP_0001023,1907,53.5893786913852,36.3329085390323,79.0418830753257
JP_0001023,1908,56.8539212760559,38.5462263651947,83.8569341091874
JP_0001023,1909,57.9319863905069,39.2771406276653,85.4470308560586
JP_0001023,1910,61.4109183665695,41.6358116999261,90.578296438788
JP_0001023,1911,64.6667294694573,43.8432096938984,95.3804689362866
JP_0001023,1912,58.2918074250313,39.5210946546952,85.9777504283588
JP_0001023,1913,65.9747346478161,44.7300203581454,97.3097167628969
JP_0001023,1914,52.4583444880955,35.5660819165537,77.3736593445477
JP_0001023,1915,51.0155001605925,34.5878520458712,75.245529938772
JP_0001023,1916,56.6245670399058,38.3907271470928,83.5186470986026
JP_0001023,1917,51.2566696469809,34.7513618514581,75.6012439031793
JP_0001023,1918,66.0376409188303,44.7726699996808,97.4025006361126
JP_0001023,1919,57.7935592663133,39.1832888203583,85.2428571777637
JP_0001023,1920,56.8645921269597,38.5534610646704,83.8726731263219
JP_0001023,1921,61.404782346639,41.6316515574431,90.5692460899738
JP_0001023,1922,58.6734514751683,39.7798444052372,86.5406579507811
JP_0001023,1923,67.3888512791179,45.6887732208068,99.3954741304142
JP_0001023,1924,45.9526643089069,31.1553145461036,67.7780785670539
JP_0001023,1925,62.7291681149804,42.5295680507217,92.5226545377694
JP_0001023,1926,52.0331382499849,35.2777975636323,76.7464995868428
JP_0001023,1927,49.0456808785937,33.2523399433062,72.340136572226
JP_0001023,1928,49.5198880139837,33.5738462734672,73.0395704127419
JP_0001023,1929,54.4882974427134,36.9423638746523,80.3677471284599
JP_0001023,1930,59.62990098736,40.4283048557453,87.951377245466
JP_0001023,1931,57.60722630079,39.0569574696414,84.9680245741094
JP_0001023,1932,72.8235095283648,49.3734015171697,107.411346536123
JP_0001023,1933,66.5431467440475,45.1153964384278,98.148098612921
JP_0001023,1934,61.0269159039571,41.3754629761014,90.0119103658081
JP_0001023,1935,64.552322969032,43.7656435601285,95.2117245796528
JP_0001023,1936,66.1840793231209,44.8719533517109,97.618490586217
JP_0001023,1937,57.6373486230449,39.0773800161645,85.0124536220247
JP_0001023,1938,61.8711464066702,41.9478403835273,91.2571117529778
JP_0001023,1939,60.4754251414105,41.0015593421161,89.1984867092032
JP_0001023,1940,59.1594939341988,40.1093749323914,87.2575483524702
JP_0001023,1941,56.3531594813795,38.2067163180528,83.1183333604952
JP_0001023,1942,46.8636183266309,31.7729296373298,69.1216940877819
JP_0001023,1943,49.1941471849476,33.3529981868177,72.5591175851404
JP_0001023,1944,46.1397898646216,31.2821832627721,68.0540802049757
JP_0001023,1945,47.5382348628073,32.2303109601038,70.1167226300986
JP_0001023,1946,61.235700471554,41.5170162248073,90.3198580537993
JP_0001023,1947,60.9649701894233,41.3334645874899,89.9205432520697
JP_0001023,1948,53.5419878445752,36.3007782145828,78.9719836143074
JP_0001023,1949,53.9876791196402,36.6029516041178,79.6293568958339
JP_0001023,1950,65.3818719254118,44.3280722267235,96.4352601350856
JP_0001023,1951,60.8753251907529,41.2726912880177,89.7883104161851
JP_0001023,1952,55.9292573822963,37.9193172058661,82.4930948611922
JP_0001023,1953,79.9629438455856,54.2138525066696,117.94167159889
JP_0001023,1954,91.8650125281142,62.2833034185458,135.496675089293
JP_0001023,1955,67.2235372092211,45.5766984080568,99.1516303892844
JP_0001023,1956,73.8740770401216,50.0856793575699,108.960871221666
JP_0001023,1957,73.1629675309234,49.6035562065678,107.912017348913
JP_0001023,1958,61.1060885258711,41.42914645284,90.1286744872251
JP_0001023,1959,53.0411096399627,35.9611939220321,78.2332009871036
JP_0001023,1960,47.2611513859538,32.0424561534503,69.7080279872844
JP_0001023,1961,53.5887225037684,36.3324684395385,79.0409048139635
JP_0001023,1962,53.4230111191746,36.220118240289,78.7964881314171
JP_0001023,1963,63.7146626717546,43.1977263592089,93.9762015625172
JP_0001023,1964,57.1268842823734,38.7312968711382,84.2595309594076
JP_0001023,1965,59.9129495663025,40.6202134989181,88.3688493126683
JP_0001023,1966,57.4615345835715,38.9581854950592,84.7531247860025
JP_0001023,1967,44.6257905472034,30.2557152119405,65.8209917700749
JP_0001023,1968,49.6267057343613,33.6462717454247,73.1971120211792
JP_0001023,1969,58.1608336439748,39.4323013137394,85.7845587871759
JP_0001023,1970,55.4629733146771,37.6031865170282,81.8053386914851
JP_0001023,1971,50.4200857525469,34.1841732501538,74.3673111147348
JP_0001023,1972,65.4462544775553,44.3717234558926,96.5302199586323
JP_0001023,1973,53.8345771280265,36.4991547302211,79.40352909471
JP_0001023,1974,51.4275794207681,34.8672410710206,75.8533180096545
JP_0001023,1975,53.6543770222169,36.376981363303,79.1377422137154
JP_0001023,1976,72.0661442694077,48.859924064123,106.29425340578
JP_0001023,1977,54.5657648786619,36.9948906730115,80.4819974495965
JP_0001023,1978,50.4468755015883,34.2023363573539,74.4068247643431
JP_0001023,1979,51.0503405247666,34.6114779245455,75.2969079614605
JP_0001023,1980,67.1132853365909,45.5019490564262,98.98901392301
